,mid_dim,batch_size,baseline,minimal_batch,minimal_time,improvement
0,128,4,0.1940608024597168,1,0.23256540298461914,-19.841513606486885
1,128,8,0.4209280014038086,4,0.4618406295776367,-9.719626168224298
2,128,16,0.8601665496826172,12,0.8023500442504883,6.721547757636233
3,128,32,1.3851404190063477,30,1.5548110008239746,-12.24934161832797
4,128,64,2.847588062286377,60,3.0628323554992676,-7.558828331372738
5,256,4,0.23142099380493164,2,0.23245811462402344,-0.44815329933549686
6,256,8,0.4473567008972168,4,0.4363536834716797,2.4595624483705065
7,256,16,0.8363485336303711,12,0.8260846138000488,1.2272299666467117
8,256,32,1.6396403312683105,28,1.6111373901367188,1.7383654566208386
9,256,64,3.251922130584717,60,3.1709909439086914,2.4887184694509714
10,512,4,0.251162052154541,2,0.25333166122436523,-0.8638283734396507
11,512,8,0.49080848693847656,4,0.4528641700744629,7.730982220926843
12,512,16,0.9095668792724609,12,0.8831024169921875,2.90956749672346
13,512,32,1.7750859260559082,14,1.7139196395874023,3.4458211611430105
14,512,64,3.5280227661132812,60,3.4277796745300293,2.8413391360761207
15,1024,4,0.2889871597290039,2,0.2824068069458008,2.2770398481973433
16,1024,8,0.5686044692993164,4,0.49692392349243164,12.606398591135896
17,1024,16,1.0667920112609863,5,0.9852886199951172,7.640045145213378
18,1024,32,2.0838260650634766,5,1.970219612121582,5.4518203244777
19,1024,64,4.414498805999756,20,3.793346881866455,14.07072357317419
20,2048,4,0.40036439895629883,2,0.3277778625488281,18.13011761202918
21,2048,8,0.7131218910217285,7,0.6920933723449707,2.948797245114592
22,2048,16,1.356947422027588,7,1.1850953102111816,12.664610951514991
23,2048,32,2.636563777923584,13,2.433633804321289,7.696759520913682
24,2048,64,5.15446662902832,30,4.654121398925781,9.707022396551245
