,mid_dim,batch_size,baseline,minimal_batch,minimal_time,improvement
0,128,4,11.474025249481201,3,9.386467933654785,18.193766097218628
1,128,8,13.76652717590332,1,11.225247383117676,18.459846556173257
2,128,16,23.456990718841553,10,20.05918025970459,14.4852786099613
3,128,32,33.89655351638794,23,28.93545627593994,14.635993119623388
4,128,64,59.60092544555664,30,61.115920543670654,-2.541898614473543
5,256,4,10.9061598777771,3,8.733844757080078,19.91824019674819
6,256,8,13.39806318283081,3,8.69227647781372,35.12288784432219
7,256,16,18.66353750228882,11,18.101489543914795,3.011476030763708
8,256,32,40.23010730743408,2,37.500154972076416,6.7858440309285495
9,256,64,87.06831932067871,40,78.75102758407593,9.55260397983521
10,512,4,11.893630027770996,3,12.017309665679932,-1.0398813282416735
11,512,8,14.031398296356201,2,17.03641414642334,-21.416367681954462
12,512,16,24.90309476852417,2,27.345597743988037,-9.808029878081763
13,512,32,47.92470932006836,28,45.72726488113403,4.585201392164003
14,512,64,105.85399866104126,45,83.15733671188354,21.44147810781856
15,1024,4,9.852468967437744,2,6.248736381530762,36.57694936992202
16,1024,8,17.449510097503662,3,15.042614936828613,13.793482723732058
17,1024,16,28.576576709747314,11,25.6017804145813,10.409911324862536
18,1024,32,66.12446308135986,29,50.48022270202637,23.65877868843297
19,1024,64,109.0874195098877,25,100.46292543411255,7.90603913313159
20,2048,4,14.748930931091309,1,15.142786502838135,-2.6704008147232123
21,2048,8,24.846971035003662,2,25.741350650787354,-3.5995518911488906
22,2048,16,49.01320934295654,14,38.36991786956787,21.715149071172114
23,2048,32,109.02225971221924,22,66.74786806106567,38.775926827001406
24,2048,64,222.8522539138794,51,136.0765814781189,38.938655953327135
