job_id	node	method	bs	row	dim
26249348	1	summa	32	32	128
26249349	1	megatron	32	32	128
26249350	1	summa	32	32	256
26249351	1	megatron	32	32	256
26249352	1	summa	32	32	512
26249353	1	megatron	32	32	512
26249354	1	summa	32	64	128
26249355	1	megatron	32	64	128
26249356	1	summa	32	64	256
26249357	1	megatron	32	64	256
26249358	1	summa	32	64	512
26249359	1	megatron	32	64	512
26249360	1	summa	64	32	128
26249361	1	megatron	64	32	128
26249362	1	summa	64	32	256
26249363	1	megatron	64	32	256
26249364	1	summa	64	32	512
26249365	1	megatron	64	32	512
26249366	1	summa	64	64	128
26249367	1	megatron	64	64	128
26249368	1	summa	64	64	256
26249369	1	megatron	64	64	256
26249370	1	summa	64	64	512
26249371	1	megatron	64	64	512
26249372	4	summa	32	32	128
26249373	4	megatron	32	32	128
26249374	4	summa	32	32	256
26249375	4	megatron	32	32	256
26249376	4	summa	32	32	512
26249377	4	megatron	32	32	512
26249378	4	summa	32	64	128
26249379	4	megatron	32	64	128
26249380	4	summa	32	64	256
26249381	4	megatron	32	64	256
26249382	4	summa	32	64	512
26249383	4	megatron	32	64	512
26249384	4	summa	64	32	128
26249385	4	megatron	64	32	128
26249386	4	summa	64	32	256
26249387	4	megatron	64	32	256
26249388	4	summa	64	32	512
26249389	4	megatron	64	32	512
26249390	4	summa	64	64	128
26249391	4	megatron	64	64	128
26249392	4	summa	64	64	256
26249393	4	megatron	64	64	256
26249394	4	summa	64	64	512
26249395	4	megatron	64	64	512
26249396	16	summa	32	32	128
26249397	16	megatron	32	32	128
26249398	16	summa	32	32	256
26249399	16	megatron	32	32	256
26249400	16	summa	32	32	512
26249401	16	megatron	32	32	512
26249402	16	summa	32	64	128
26249403	16	megatron	32	64	128
26249404	16	summa	32	64	256
26249405	16	megatron	32	64	256
26249406	16	summa	32	64	512
26249407	16	megatron	32	64	512
26249408	16	summa	64	32	128
26249409	16	megatron	64	32	128
26249410	16	summa	64	32	256
26249411	16	megatron	64	32	256
26249412	16	summa	64	32	512
26249413	16	megatron	64	32	512
26249414	16	summa	64	64	128
26249415	16	megatron	64	64	128
26249416	16	summa	64	64	256
26249417	16	megatron	64	64	256
26249418	16	summa	64	64	512
26249419	16	megatron	64	64	512
26249420	64	summa	32	32	128
26249421	64	megatron	32	32	128
26249422	64	summa	32	32	256
26249423	64	megatron	32	32	256
26249424	64	summa	32	32	512
26249425	64	megatron	32	32	512
26249426	64	summa	32	64	128
26249427	64	megatron	32	64	128
26249428	64	summa	32	64	256
26249429	64	megatron	32	64	256
26249430	64	summa	32	64	512
26249431	64	megatron	32	64	512
26249432	64	summa	64	32	128
26249433	64	megatron	64	32	128
26249434	64	summa	64	32	256
26249435	64	megatron	64	32	256
26249436	64	summa	64	32	512
26249437	64	megatron	64	32	512
26249438	64	summa	64	64	128
26249439	64	megatron	64	64	128
26249440	64	summa	64	64	256
26249441	64	megatron	64	64	256
26249442	64	summa	64	64	512
26249443	64	megatron	64	64	512
